,V1
1970-01-01,0.61227692
1970-04-01,0.454929794
1970-07-01,0.874673021
1970-10-01,-0.272514385
1971-01-01,1.892186993
1971-04-01,0.913378185
1971-07-01,0.792857898
1971-10-01,1.649995662
1972-01-01,1.32724825
1972-04-01,1.889905062
1972-07-01,1.532724163
1972-10-01,2.317057775
1973-01-01,1.813855694
1973-04-01,-0.050557716
1973-07-01,0.359667223
1973-10-01,-0.293315461
1974-01-01,-0.878770942
1974-04-01,0.346720029
1974-07-01,0.411953557
1974-10-01,-1.47820468
1975-01-01,0.837359874
1975-04-01,1.653973693
1975-07-01,1.414318836
1975-10-01,1.053109931
1976-01-01,1.97774749
1976-04-01,0.915072184
1976-07-01,1.050746068
1976-10-01,1.295196193
1977-01-01,1.135458885
1977-04-01,0.551532397
1977-07-01,0.950159598
1977-10-01,1.496161496
1978-01-01,0.582299782
1978-04-01,2.11467168
1978-07-01,0.418698865
1978-10-01,0.802764302
1979-01-01,0.50412878
1979-04-01,-0.058551127
1979-07-01,0.977555967
1979-10-01,0.26591209
1980-01-01,-0.173684254
1980-04-01,-2.296562996
1980-07-01,1.066919835
1980-10-01,1.32441742
1981-01-01,0.54583283
1981-04-01,0.0
1981-07-01,0.404821844
1981-10-01,-0.758748833
1982-01-01,0.643998142
1982-04-01,0.356859498
1982-07-01,0.76412375
1982-10-01,1.807886611
1983-01-01,0.975937338
1983-04-01,1.96559809
1983-07-01,1.751349705
1983-10-01,1.573740048
1984-01-01,0.853227275
1984-04-01,1.420025736
1984-07-01,0.769502001
1984-10-01,1.307478026
1985-01-01,1.681281553
1985-04-01,0.907910806
1985-07-01,1.880850439
1985-10-01,0.219864034
1986-01-01,0.831533592
1986-04-01,1.059663705
1986-07-01,1.732441717
1986-10-01,0.600062434
1987-01-01,-0.152288
1987-04-01,1.329357293
1987-07-01,1.110416851
1987-10-01,0.240125469
1988-01-01,1.656928516
1988-04-01,0.723060308
1988-07-01,0.786814118
1988-10-01,1.170680141
1989-01-01,0.365226244
1989-04-01,0.446943251
1989-07-01,1.031342865
1989-10-01,0.487945312
1990-01-01,0.787867942
1990-04-01,0.329588878
1990-07-01,0.379094008
1990-10-01,-0.782282375
1991-01-01,-0.283580869
1991-04-01,0.758193783
1991-07-01,0.382567416
1991-10-01,-0.044932041
1992-01-01,1.70442848
1992-04-01,0.591033456
1992-07-01,1.099312177
1992-10-01,1.212615834
1993-01-01,0.405115351
1993-04-01,0.955401523
1993-07-01,1.079080891
1993-10-01,0.886099341
1994-01-01,1.107815847
1994-04-01,0.73801073
1994-07-01,0.79832641
1994-10-01,0.982355812
1995-01-01,0.116703636
1995-04-01,0.816439436
1995-07-01,0.890123271
1995-10-01,0.700256683
1996-01-01,0.909995107
1996-04-01,1.125174154
1996-07-01,0.597491051
1996-10-01,0.811049811
1997-01-01,1.002314791
1997-04-01,0.40370845
1997-07-01,1.685618761
1997-10-01,1.137796247
1998-01-01,0.989350157
1998-04-01,1.706687585
1998-07-01,1.316901051
1998-10-01,1.522383594
1999-01-01,0.981498554
1999-04-01,1.56147049
1999-07-01,1.194790348
1999-10-01,1.400264206
2000-01-01,1.505040637
2000-04-01,0.935882738
2000-07-01,0.974321842
2000-10-01,0.88064976
2001-01-01,0.398685386
2001-04-01,0.376512295
2001-07-01,0.439188594
2001-10-01,1.553691
2002-01-01,0.343826889
2002-04-01,0.506654039
2002-07-01,0.675711941
2002-10-01,0.354724654
2003-01-01,0.503872727
2003-04-01,0.985555729
2003-07-01,1.337666705
2003-10-01,0.542546733
2004-01-01,0.880747948
2004-04-01,0.443979489
2004-07-01,0.870378697
2004-10-01,1.073951523
2005-01-01,0.793938878
2005-04-01,0.984778893
2005-07-01,0.756278018
2005-10-01,0.248197873
2006-01-01,1.01902713
2006-04-01,0.600482189
2006-07-01,0.59799998
2006-10-01,0.925841126
2007-01-01,0.554241245
2007-04-01,0.38257957
2007-07-01,0.43929546
2007-10-01,0.294658721
2008-01-01,-0.252665213
2008-04-01,-0.03553182
2008-07-01,-0.971774467
2008-10-01,-1.313503998
2009-01-01,-0.387483995
2009-04-01,-0.470083019
2009-07-01,0.574000955
2009-10-01,0.109328853
2010-01-01,0.671017951
2010-04-01,0.717718191
2010-07-01,0.653143257
2010-10-01,0.875352148
